"Module_Colors","Locus_Tag","Genes","PGFam","MRSA_As_1","MRSA_As_2","MRSA_As_3","MRSA_Bs_1","MRSA_Bs_2","MRSA_Bs_3","MRSA_Ctrl_1","MRSA_Ctrl_2","MRSA_Ctrl_3","MRSA_Li_1","MRSA_Li_2","MRSA_Li_3","MRSA_Mig_1","MRSA_Mig_2","MRSA_Mig_3","MRSA_Nd_1","MRSA_Nd_2","MRSA_Nd_3","MRSA_Ns_1","MRSA_Ns_2","MRSA_Ns_3","MRSA_Oss_1","MRSA_Oss_2","MRSA_Oss_3","MRSA_Oxs_1","MRSA_Oxs_2","MRSA_Oxs_3","MRSA_Sp_1","MRSA_Sp_2","MRSA_Sp_3","MRSA_Tm_1","MRSA_Tm_2","MRSA_Tm_3","MRSA_Vic_1","MRSA_Vic_2","MRSA_Vic_3"
"blue","SAR_RS00005","dnaA","Chromosomal replication initiator protein DnaA","-0.0662800586008962","0.189265591420617","0.247215699017509","-0.115488589938196","-0.184203326956923","-0.0749795134347783","-0.783970409344754","-0.845242664933067","-0.787866013699848","-0.525284642944597","-0.168180646619932","0.00981330344599883","0.0546609865949662","-0.337477303917154","-0.541971064657198","2.94123204932542","2.80352976851935","2.62826842565533","-1.35478711541632","-1.3802058914826","-1.40978017437113","-0.878850786905364","-0.767014744512881","-1.0041739143845","0.332947675827349","0.17133379932448","0.307009282041516","0.102549141635986","0.0135042821966964","0.0148587342318103","0.176384785916679","0.0190706544695709","0.200691817838493","0.309634892598317","0.402122901146539","0.3016630709135"
"blue","SAR_RS00010","dnaN","DNA polymerase III beta subunit (EC 2.7.7.7)","-0.108133362720102","0.157253151552777","0.299365780558832","-0.0726407496228962","0.0646704084025068","-0.0212000000628058","-0.580549424922575","-0.810642951836278","-0.649829067529467","-0.306784662171966","0.172178075508308","0.210271721045724","-0.761663171182396","-1.10772596041108","-1.06719724309885","2.5519120303678","2.80941182069733","2.30590898000471","-1.36598488104282","-1.47102990372893","-1.54492652919101","-0.97761246853142","-0.778454042044719","-0.723226573530894","0.565573227426636","0.3693895586766","0.49652514404282","0.113832275101305","-0.209659739025265","-0.278112641293396","0.487327957195459","0.562488705823658","0.535306378427949","0.33372319876065","0.381102445154943","0.419132513198855"
"red","SAR_RS00015","","Uncharacterized S4 RNA-binding-domain protein YbcJ","-0.176538143951821","-0.116562682584599","-0.194537061079588","2.14927863753124","1.58072580664349","2.88507960019597","0.347303830340229","1.32449189211702","0.873285333756911","-0.206905248508598","0.288464301887952","0.211461355299452","-0.518893800253826","-0.770275807822258","-1.4849604683299","-0.0246264263961529","0.0229712761139081","0.986018157342309","0.00974738749894876","-1.57731170416754","-1.21856227506444","-0.717931943011273","-1.70334044263079","-1.35338318103871","-0.283945208417467","0.175462922829659","-0.380238279630859","-0.683275387419411","-0.109787635475801","-0.993307876656097","0.606972282839378","1.07256813190327","0.31799980316494","-0.0384432893567531","-0.0565571016041882","-0.242446756064603"
"turquoise","SAR_RS00020","recF","DNA recombination and repair protein RecF","-0.418759494152738","-0.74333367632297","-0.164091443525914","1.5264795317837","1.86552451895476","1.78978031385796","0.368083631631187","-0.0574252706287736","0.0134689738359071","0.0679519800776004","0.934033772311036","0.584388394608314","-1.41196379548384","-1.36432170917833","-1.32948288357056","0.102922632688668","0.426140972984859","0.655624682893097","-0.913941016597833","-1.80285381031182","-1.81928514237183","-1.35174613762308","-1.08453298554164","-0.786679037419071","0.209251455879854","-0.258288835964709","-0.22244955077978","-0.00832772691148465","-0.00671166454821739","-0.200344310452028","1.76591689875385","1.33666275209274","0.728690309103303","0.829801582775906","0.451146072361662","0.288670014790208"
"turquoise","SAR_RS00025","gyrB","DNA gyrase subunit B (EC 5.99.1.3)","0.630140906021331","0.666092912723807","0.930060578572693","0.13056252391423","-0.451639025633071","0.000653812254520882","-0.642449190992677","-0.683129623789436","-0.806263773931651","0.401969488599942","0.0461509566418063","0.496315476370817","-0.0787445627078195","0.1727547020905","-0.658607815488049","-1.18100141911903","-1.15937026198683","-0.815608161388428","-1.54807428754538","-1.72695971270094","-1.96867368526547","-0.77141557304296","-0.976814209491009","-0.675914116587637","0.27333504795546","0.39433380752406","0.831009631853307","0.0353477063193054","0.147048146094269","-0.339471509509258","1.66739829268532","1.41066779065788","1.39867414592013","1.98612825296741","1.14687973051599","1.71861301949686"
"turquoise","SAR_RS00030","gyrA","DNA gyrase subunit A (EC 5.99.1.3)","0.413060390186518","0.528333543530788","0.456371360719192","0.330093247249475","-0.0831963892283329","0.292499315382775","-0.217089551368973","-0.160695776742241","-0.245364136852117","0.52705512150181","0.550202650320043","1.1453896775028","-0.638553351509983","-0.709689937730883","-0.75375640866172","-1.89651044634267","-1.98284976676222","-1.86771979392662","-1.33365127953781","-1.28438040356261","-1.3650763907089","-0.387566412161034","-0.371482567063345","-0.233201871585349","1.27813280954466","1.32157154894351","1.32669177873474","-0.0643344437796834","-0.596360413211089","-0.751045001003676","1.18724801452483","1.22518195749377","0.983575180346339","1.52482524885189","0.953635875130917","0.898656621775187"
"red","SAR_RS00035","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)","0.504193938098152","0.549855813223819","0.666605908426249","2.750267083004","3.69668274872309","2.70831234056071","-0.418329980483144","-0.464754687515825","-0.437313432368624","-0.352720983993745","-0.301164174852167","-0.458225964302846","0.135472880062768","-0.033593960656458","-0.106328489422756","-0.722775266240637","-0.704553797166673","-0.649818375093889","-0.661277143012464","-0.57447034461826","-0.666230078720385","-0.265763721338774","-0.211531722259829","-0.168840766687475","-0.112871092832804","-0.0609695131874596","-0.307550334145529","-0.598938382545095","-0.472491137927482","-0.450059488210713","-0.516529367432104","-0.429404277463437","-0.43630240139488","-0.133109579030596","-0.116283931714546","-0.17918831748019"
"blue","SAR_RS00040","hutH","Histidine ammonia-lyase (EC 4.3.1.3)","-0.244367550333513","-0.318250279639302","-0.411807720848008","-0.403170640785336","-0.36950691434222","-0.407081581382934","-0.59773082897208","-0.568126384262524","-0.630009000672716","-0.58983400337186","-0.556059427859294","-0.479294299268819","0.69784631307503","0.754152008428221","0.461252018325484","3.22907230358075","2.97792929833355","2.64124525471763","-0.644376719773326","-0.675633217235567","-0.671140231711231","-0.580599154540577","-0.616165752428708","-0.608224855625992","-0.466848901547925","-0.530706454923906","-0.569396434601193","0.545844367053467","0.440450596788754","0.699715248539148","-0.227906714307681","-0.242754410585522","0.0203864310354249","-0.344957273233969","-0.326364333799312","-0.387580753823944"
"pink","SAR_RS14715","","","-0.0318856772441929","-0.0889735580346097","0.0249618604014374","-0.330531101454061","-0.668287183188406","-0.416460822894608","-0.143600490212667","-0.0674546217237004","-0.0500327151150531","-0.838810550447818","-0.981643721640253","-0.782696344827108","1.31258548677581","3.17718547609119","1.92994565846036","0.0891783016306322","1.44664574657868","-0.73799778293","0.367104832336796","-0.802375367110148","0.265311461583694","-0.321173408877511","2.85468590393774","0.740507569628756","-0.684433615610865","-0.841726751101812","-0.478528142664731","-0.864487165519703","-0.775296032284546","-0.855395109135264","-0.439958497585317","0.0807189608714819","-0.383141106438321","-0.273955764327097","-0.455865691432355","0.0258799635035673"
"greenyellow","SAR_RS00045","serS","Seryl-tRNA synthetase (EC 6.1.1.11)","-0.531226174939347","-0.571994713850851","-0.666555410805753","-0.41384729551376","-0.581578077097674","-0.452666678501996","1.83449294425754","2.18481343755055","1.42194383964833","0.535612243896686","0.16038119839932","0.30989536722921","-0.799155657814873","-1.50107721693069","-1.46889797093293","0.0372887345339445","0.27816418217469","-0.198099467300046","0.982424972800676","0.661576735803975","0.820916343138837","1.91642487347936","1.33488058185439","1.91117375827063","-1.09276548909234","-1.06380294697527","-1.11438681787884","-0.979962053447627","-0.764490053107068","0.157985752526142","-0.541295146624641","-0.576287534859209","-0.600944828741221","-0.40077717940794","-0.0939772220294997","-0.134187029712693"
